,school,region,start_median_salary,mid_median_salary,mid_per_10,mid_per_25,mid_per_75,mid_per_90,school_type
271,Middlebury College,Northeastern,47700.0,94200.0,,69100.0,129000.0,,Liberal Arts
272,Mount Holyoke College,Northeastern,42400.0,94200.0,,57100.0,131000.0,,Liberal Arts
273,Boston University,Northeastern,49000.0,93900.0,48000.0,64900.0,130000.0,193000.0,
274,Drexel University,Northeastern,53400.0,93500.0,54900.0,72500.0,122000.0,161000.0,
275,"St. John's University, New York",Northeastern,48000.0,93400.0,48000.0,65400.0,124000.0,181000.0,
276,Long Island University,Northeastern,47300.0,93200.0,46300.0,62100.0,122000.0,169000.0,
277,Stony Brook University,Northeastern,49500.0,93000.0,47200.0,67100.0,129000.0,181000.0,State
278,Franklin and Marshall College,Northeastern,49100.0,92800.0,,55800.0,185000.0,,Liberal Arts
279,Hofstra University,Northeastern,46800.0,92700.0,48900.0,67000.0,135000.0,189000.0,
280,State University of New York (SUNY) at Albany,Northeastern,44500.0,92200.0,47000.0,63100.0,135000.0,209000.0,Party
281,State University of New York (SUNY) at Albany,Northeastern,44500.0,92200.0,47000.0,63100.0,135000.0,209000.0,State
282,Rutgers University,Northeastern,50300.0,91800.0,48100.0,65100.0,128000.0,176000.0,State
283,Pratt Institute,Northeastern,43800.0,89900.0,48600.0,65400.0,123000.0,155000.0,
284,Pace University,Northeastern,53200.0,89700.0,44200.0,65400.0,129000.0,187000.0,
285,Seton Hall University,Northeastern,48900.0,89200.0,55700.0,70600.0,133000.0,195000.0,
286,Rider University,Northeastern,43600.0,88900.0,47100.0,63100.0,127000.0,150000.0,
287,University of Connecticut (UConn),Northeastern,48000.0,88800.0,46100.0,66400.0,120000.0,162000.0,State
288,Providence College,Northeastern,48000.0,88600.0,42800.0,62900.0,138000.0,194000.0,
289,University of Massachusetts (UMass) - Amherst,Northeastern,46600.0,88200.0,43100.0,61300.0,122000.0,168000.0,State
290,Ithaca College,Northeastern,42700.0,87400.0,50200.0,62400.0,128000.0,174000.0,
291,University of Massachusetts (UMass) - Lowell,Northeastern,45400.0,86600.0,50900.0,65000.0,113000.0,158000.0,State
292,Northeastern University,Northeastern,50500.0,86400.0,47100.0,62700.0,117000.0,159000.0,
293,Syracuse University,Northeastern,45700.0,85900.0,46400.0,59400.0,119000.0,178000.0,
294,Colby College,Northeastern,46400.0,85800.0,,63500.0,129000.0,,Liberal Arts
295,Gettysburg College,Northeastern,44700.0,85800.0,,66300.0,132000.0,,Liberal Arts
296,Pennsylvania State University (PSU),Northeastern,49900.0,85700.0,46300.0,62000.0,117000.0,160000.0,Party
297,Pennsylvania State University (PSU),Northeastern,49900.0,85700.0,46300.0,62000.0,117000.0,160000.0,State
298,University of Rhode Island (URI),Northeastern,43900.0,85300.0,45400.0,60100.0,112000.0,157000.0,State
299,Siena College,Northeastern,45500.0,85200.0,38700.0,58400.0,129000.0,189000.0,Liberal Arts
300,La Salle University (Philadelphia),Northeastern,43400.0,84700.0,45300.0,57500.0,106000.0,151000.0,
301,Rochester Institute of Technology (RIT),Northeastern,48900.0,84600.0,45000.0,62100.0,112000.0,159000.0,Engineering
302,Duquesne University,Northeastern,40700.0,84400.0,42600.0,59500.0,107000.0,131000.0,
303,State University of New York (SUNY) at Farmingdale,Northeastern,47300.0,84200.0,50200.0,59800.0,110000.0,162000.0,State
304,Smith College,Northeastern,44000.0,83900.0,45100.0,59800.0,129000.0,184000.0,Liberal Arts
305,Hamilton College,Northeastern,49200.0,83700.0,,51900.0,123000.0,,Liberal Arts
306,Wellesley College,Northeastern,42800.0,83500.0,,58600.0,125000.0,,Liberal Arts
307,Widener University,Northeastern,52900.0,83400.0,42600.0,61400.0,106000.0,138000.0,
308,University of New Haven,Northeastern,44400.0,82900.0,48500.0,66100.0,113000.0,157000.0,
309,Dowling College,Northeastern,41100.0,82800.0,46500.0,60600.0,117000.0,142000.0,
310,University of Vermont (UVM),Northeastern,44800.0,82700.0,44700.0,58000.0,122000.0,194000.0,State
311,State University of New York (SUNY) at Buffalo,Northeastern,46200.0,81700.0,45900.0,61400.0,110000.0,147000.0,State
312,State University of New York (SUNY) at Geneseo,Northeastern,42300.0,81300.0,39300.0,47600.0,117000.0,173000.0,State
313,Fashion Institute of Technology,Northeastern,42800.0,81000.0,38800.0,60500.0,106000.0,138000.0,
314,Philadelphia University,Northeastern,45100.0,80300.0,45800.0,61900.0,108000.0,141000.0,
315,Ursinus College,Northeastern,42100.0,80000.0,35600.0,54300.0,100000.0,160000.0,Liberal Arts
316,Adelphi University,Northeastern,40600.0,79200.0,44200.0,54800.0,114000.0,160000.0,
317,Juniata College,Northeastern,41800.0,78900.0,,67200.0,110000.0,,Liberal Arts
318,Fairleigh Dickinson University,Northeastern,45700.0,78700.0,40200.0,56300.0,112000.0,171000.0,
319,University of New Hampshire (UNH),Northeastern,41800.0,78300.0,41700.0,56400.0,114000.0,147000.0,Party
320,University of New Hampshire (UNH),Northeastern,41800.0,78300.0,41700.0,56400.0,114000.0,147000.0,State
321,University of Massachusetts (UMass) - Boston,Northeastern,45600.0,78200.0,36300.0,53800.0,109000.0,151000.0,State
322,State University of New York (SUNY) at Oswego,Northeastern,38000.0,77800.0,40400.0,53000.0,115000.0,169000.0,State
323,University of Massachusetts (UMass) - Dartmouth,Northeastern,43200.0,77700.0,43300.0,56200.0,107000.0,132000.0,State
324,State University of New York (SUNY) at Oneonta,Northeastern,37500.0,76700.0,40000.0,54300.0,97700.0,155000.0,State
325,Quinnipiac University,Northeastern,43000.0,76500.0,47900.0,57400.0,117000.0,155000.0,
326,State University of New York (SUNY) at Plattsburgh,Northeastern,40800.0,76200.0,38400.0,54100.0,105000.0,136000.0,State
327,Sacred Heart University,Northeastern,46000.0,75300.0,39700.0,54800.0,105000.0,150000.0,
328,Skidmore College,Northeastern,41600.0,74600.0,,42800.0,147000.0,,Liberal Arts
329,Moravian College,Northeastern,42500.0,74400.0,,56700.0,94900.0,,Liberal Arts
330,Penn State - Harrisburg,Northeastern,45700.0,74000.0,44000.0,53100.0,104000.0,150000.0,State
331,Suffolk University,Northeastern,42100.0,74000.0,48700.0,57800.0,95100.0,145000.0,
332,Fitchburg State College,Northeastern,42400.0,72600.0,43300.0,56100.0,99600.0,151000.0,State
333,Roger Williams University,Northeastern,42000.0,72300.0,39800.0,48500.0,102000.0,138000.0,
334,University Of Maine,Northeastern,41200.0,72100.0,41700.0,55600.0,99300.0,141000.0,State
335,State University of New York (SUNY) at Potsdam,Northeastern,38000.0,70300.0,35100.0,51200.0,100000.0,179000.0,State
336,Niagara University,Northeastern,36900.0,69700.0,44000.0,57000.0,92000.0,128000.0,
337,State University of New York (SUNY) at Fredonia,Northeastern,37800.0,66200.0,32800.0,44200.0,93300.0,181000.0,State
338,University of Southern Maine,Northeastern,39400.0,63600.0,40400.0,47900.0,85700.0,117000.0,State
339,Mercy College,Northeastern,43700.0,62600.0,35600.0,47300.0,99000.0,134000.0,
