,school,region,start_median_salary,mid_median_salary,mid_per_10,mid_per_25,mid_per_75,mid_per_90,school_type
45,University of Puget Sound,Western,46600.0,81500.0,48900.0,60100.0,104000.0,137000.0,Liberal Arts
46,Colorado College (CC),Western,38500.0,81400.0,,43000.0,148000.0,,Liberal Arts
47,Reed College,Western,40500.0,81100.0,,67400.0,101000.0,,Liberal Arts
48,Whitman College,Western,43500.0,80100.0,,64800.0,111000.0,,Liberal Arts
49,New Mexico State University,Western,44300.0,79500.0,37400.0,53800.0,102000.0,131000.0,State
50,Colorado State University (CSU),Western,44800.0,79000.0,43800.0,57100.0,112000.0,150000.0,State
51,University of Wyoming (UW),Western,44500.0,78700.0,41500.0,54000.0,105000.0,145000.0,State
52,Utah State University,Western,43800.0,78700.0,41600.0,55400.0,101000.0,132000.0,State
53,University of Oregon,Western,42200.0,78400.0,38100.0,56200.0,117000.0,186000.0,State
54,Montana State University - Bozeman,Western,46600.0,77500.0,40200.0,58100.0,111000.0,151000.0,State
55,Gonzaga University,Western,44900.0,76000.0,47000.0,57400.0,103000.0,138000.0,
56,University of Hawaii,Western,43800.0,76000.0,40400.0,56300.0,104000.0,128000.0,State
57,Western Washington University,Western,42700.0,75400.0,41300.0,56700.0,99200.0,119000.0,State
58,Regis University,Western,48300.0,73800.0,41000.0,55500.0,94800.0,117000.0,
59,Idaho State University,Western,44900.0,73400.0,35400.0,49600.0,101000.0,143000.0,State
60,"University of Alaska, Anchorage",Western,45900.0,72600.0,39800.0,56600.0,99300.0,137000.0,State
61,Lewis & Clark College,Western,38900.0,72600.0,38200.0,53400.0,104000.0,140000.0,Liberal Arts
62,University of Montana,Western,37300.0,71900.0,37000.0,51500.0,96400.0,138000.0,State
63,"University of Nevada, Las Vegas (UNLV)",Western,45200.0,71600.0,39000.0,52400.0,100000.0,128000.0,State
64,Portland State University (PSU),Western,42600.0,70900.0,40700.0,52300.0,94400.0,123000.0,State
65,Eastern Washington University,Western,38600.0,70900.0,36000.0,50500.0,93100.0,117000.0,State
66,Fort Lewis College,Western,42000.0,69800.0,,55000.0,94000.0,,Liberal Arts
67,Boise State University (BSU),Western,40800.0,69500.0,37400.0,48700.0,87500.0,110000.0,State
